,time,high,low,open,volumefrom,volumeto,close,RealTime
0,1477440000,559.8,534.57,543.9,504.25,282670.24,554.67,2016-10-26
1,1477526400,569.74,554.26,554.67,565.92,323692.11,567.78,2016-10-27
2,1477612800,576.08,563.34,567.78,671.34,379257.65,570.46,2016-10-28
3,1477699200,608.96,569.88,570.46,387.38,228808.07,595.14,2016-10-29
4,1477785600,604.66,570.78,595.14,339.25,199383.54,579.56,2016-10-30
5,1477872000,602.2,566.98,579.56,624.83,367795.87,579.58,2016-10-31
6,1477958400,606.97,574.5,579.58,574.59,346506.82,601.06,2016-11-01
7,1478044800,603.98,590.8,601.06,483.42,293453.21,603.98,2016-11-02
8,1478131200,611.32,534.1,603.98,783.95,460677.83,552.05,2016-11-03
9,1478217600,608.48,537.19,552.05,661.65,379826.94,568.71,2016-11-04
10,1478304000,572.5,562.78,568.71,285.11,164011.72,569.22,2016-11-05
11,1478390400,584.32,560.89,569.22,214.97,124533.81,576.8,2016-11-06
12,1478476800,580.38,557.62,576.8,596.67,349136.85,573.78,2016-11-07
13,1478563200,611.36,559.05,573.78,658.8,387810.92,585.04,2016-11-08
14,1478649600,604.09,576.77,585.04,529.88,318221.02,583.52,2016-11-09
15,1478736000,585.93,568.54,583.52,402.97,238676.88,579.02,2016-11-10
16,1478822400,582.27,568.43,579.02,366.92,215527.47,578.27,2016-11-11
17,1478908800,579.94,559.21,578.27,261.49,150175.06,562.23,2016-11-12
18,1478995200,564.05,545.32,562.23,362.77,205713.86,563.32,2016-11-13
19,1479081600,570.79,557.34,563.32,558.59,321635.48,569.59,2016-11-14
20,1479168000,589.87,565.03,569.59,522.0,306387.57,579.04,2016-11-15
21,1479254400,606.0,570.24,579.04,595.33,356575.91,596.91,2016-11-16
22,1479340800,612.83,591.35,596.91,394.01,241942.72,603.29,2016-11-17
23,1479427200,617.04,595.01,603.29,465.83,288450.54,614.26,2016-11-18
24,1479513600,619.11,603.29,614.26,271.04,167568.73,618.02,2016-11-19
25,1479600000,620.39,584.73,618.02,272.36,166533.29,601.17,2016-11-20
26,1479686400,607.81,586.23,601.17,573.59,355211.86,597.46,2016-11-21
27,1479772800,622.02,575.71,597.46,485.95,299084.22,617.75,2016-11-22
28,1479859200,616.06,589.83,617.75,561.32,346702.71,606.75,2016-11-23
29,1479945600,609.39,583.01,606.75,585.79,358390.37,601.05,2016-11-24
30,1480032000,604.94,588.25,601.05,554.66,338618.08,602.44,2016-11-25
31,1480118400,605.67,588.59,602.44,342.15,208431.84,597.31,2016-11-26
32,1480204800,600.49,588.17,597.31,268.1,161086.34,592.87,2016-11-27
33,1480291200,613.19,584.14,592.87,705.49,434571.39,606.11,2016-11-28
34,1480377600,607.29,579.59,606.11,762.16,458113.72,590.22,2016-11-29
35,1480464000,601.99,585.76,590.22,489.91,302142.95,597.58,2016-11-30
36,1480550400,604.59,590.92,597.58,512.53,314599.8,602.22,2016-12-01
37,1480636800,626.5,599.98,602.22,427.69,266647.65,611.48,2016-12-02
38,1480723200,615.58,600.29,611.48,301.43,186425.58,607.33,2016-12-03
39,1480809600,613.72,600.98,607.33,299.23,184826.9,609.16,2016-12-04
40,1480896000,615.86,591.96,609.16,730.05,450728.38,597.33,2016-12-05
41,1480982400,623.57,590.48,597.33,565.76,348302.97,621.13,2016-12-06
42,1481068800,616.07,604.29,621.13,483.59,300860.76,613.03,2016-12-07
43,1481155200,625.04,606.53,613.03,712.49,442760.74,619.98,2016-12-08
44,1481241600,620.6,610.27,619.98,520.33,322801.96,618.28,2016-12-09
45,1481328000,624.02,617.33,618.28,385.4,243045.07,621.05,2016-12-10
46,1481414400,621.92,613.32,621.05,283.78,178478.92,616.0,2016-12-11
47,1481500800,626.52,614.6,616.0,535.25,338869.39,619.41,2016-12-12
48,1481587200,628.85,616.36,619.41,590.79,374428.66,620.79,2016-12-13
49,1481673600,622.94,614.91,620.79,432.15,271072.39,619.43,2016-12-14
50,1481760000,631.73,617.62,619.43,572.16,360981.71,630.14,2016-12-15
51,1481846400,634.22,625.38,630.14,570.41,363992.64,633.11,2016-12-16
52,1481932800,641.95,628.92,633.11,368.32,238226.16,639.59,2016-12-17
53,1482019200,642.08,631.25,639.59,215.48,138521.03,637.32,2016-12-18
54,1482105600,645.22,632.58,637.32,630.85,412972.95,641.29,2016-12-19
55,1482192000,648.09,640.45,641.29,491.14,319385.44,648.09,2016-12-20
56,1482278400,677.51,647.12,648.09,602.52,402717.16,672.0,2016-12-21
57,1482364800,717.79,670.85,672.0,624.28,441048.23,703.92,2016-12-22
58,1482451200,752.98,702.01,703.92,645.37,476238.61,752.13,2016-12-23
59,1482537600,759.05,719.1,752.13,366.01,266469.86,729.69,2016-12-24
60,1482624000,739.53,690.1,729.69,211.68,151702.09,739.42,2016-12-25
61,1482710400,757.74,722.76,739.42,285.55,211579.32,739.13,2016-12-26
62,1482796800,798.64,732.12,739.13,462.94,353936.09,760.19,2016-12-27
63,1482883200,799.33,757.16,760.19,630.81,500766.81,799.33,2016-12-28
64,1482969600,803.22,770.93,799.33,544.11,437496.87,794.91,2016-12-29
65,1483056000,803.77,751.15,794.91,469.36,367431.44,787.35,2016-12-30
66,1483142400,792.61,767.22,787.35,263.13,206075.33,790.06,2016-12-31
67,1483228800,815.82,783.3,790.06,198.33,160765.59,809.88,2017-01-01
68,1483315200,848.07,800.64,809.88,470.94,391059.67,830.28,2017-01-02
