,time,high,low,open,volumefrom,volumeto,close,RealTime
0,1472947200,9.184,8.771,8.942,398555.35,3547333.52,8.9,2016-09-04
1,1473033600,8.995,8.733,8.9,329168.97,2924523.83,8.885,2016-09-05
2,1473120000,8.909,8.61,8.885,370204.36,3248797.22,8.776,2016-09-06
3,1473206400,8.95,8.671,8.776,332217.09,2900849.9,8.732,2016-09-07
4,1473292800,10.1,8.357,8.69,3485.57,32359.43,9.016,2016-09-08
5,1473379200,9.004,8.602,8.638,319803.36,2853386.38,8.922,2016-09-09
6,1473465600,9.239,8.787,8.922,295705.33,2730711.57,9.235,2016-09-10
7,1473552000,9.094,8.604,9.235,557158.81,4953465.03,8.891,2016-09-11
8,1473638400,9.075,8.748,8.891,347581.25,3138425.11,9.029,2016-09-12
9,1473724800,9.288,9.009,9.029,558807.31,5078503.59,9.088,2016-09-13
10,1473811200,9.103,8.881,9.088,265387.03,2402346.16,9.052,2016-09-14
11,1473897600,9.129,8.945,9.052,371380.75,3345912.08,9.009,2016-09-15
12,1473984000,9.2,9.012,9.03,2501.1,22960.82,9.012,2016-09-16
13,1474070400,9.884,9.602,9.534,392780.91,3871138.67,9.856,2016-09-17
14,1474156800,9.85,9.03,9.5,1765.84,16841.03,9.74,2016-09-18
15,1474243200,10.01,9.268,9.368,648958.51,6433347.59,9.913,2016-09-19
16,1474329600,11.5,9.95,9.95,11248.88,122740.5,11.1,2016-09-20
17,1474416000,11.12,10.16,11.08,1483967.18,15736508.55,10.6,2016-09-21
18,1474502400,10.66,9.559,10.6,1450344.45,14652407.64,10.1,2016-09-22
19,1474588800,10.53,10.24,10.1,465773.38,4813122.97,10.33,2016-09-23
20,1474675200,10.38,9.702,10.33,516614.63,5176894.98,10.02,2016-09-24
21,1474761600,10.19,9.899,10.02,284665.75,2883102.91,10.13,2016-09-25
22,1474848000,10.37,9.897,10.13,366452.89,3637051.53,9.925,2016-09-26
23,1474934400,10.25,9.848,9.925,293770.0,2974126.72,10.12,2016-09-27
24,1475020800,10.49,10.08,10.12,372902.75,3825007.3,10.26,2016-09-28
25,1475107200,10.39,10.07,10.26,210001.09,2133243.32,10.16,2016-09-29
