,time,high,low,open,volumefrom,volumeto,close,RealTime
0,1475366400,3.0,2.971,2.983,13668.96,40861.58,2.989,2016-10-02
1,1475452800,3.043,2.995,2.989,30229.01,90934.95,3.008,2016-10-03
2,1475539200,3.043,2.976,3.008,34366.81,103828.42,3.021,2016-10-04
3,1475625600,3.044,3.013,3.021,32966.01,99997.88,3.033,2016-10-05
4,1475712000,3.057,3.014,3.033,63213.73,191683.92,3.032,2016-10-06
5,1475798400,3.142,3.109,3.032,31771.07,99211.05,3.123,2016-10-07
6,1475884800,3.228,3.039,3.116,525.84,1597.78,3.039,2016-10-08
7,1475971200,3.119,3.077,3.089,19983.44,61836.51,3.094,2016-10-09
8,1476057600,3.108,3.045,3.094,34844.65,106932.12,3.069,2016-10-10
9,1476144000,3.569,3.082,3.065,1293.58,4071.29,3.147,2016-10-11
10,1476230400,3.147,3.085,3.167,42292.58,132109.21,3.124,2016-10-12
11,1476316800,3.246,3.122,3.124,101175.35,324080.65,3.203,2016-10-13
12,1476403200,3.443,3.154,3.203,75334.87,240784.66,3.196,2016-10-14
13,1476489600,3.203,3.115,3.196,18809.75,59952.72,3.187,2016-10-15
14,1476576000,3.254,3.193,3.187,40204.47,129239.4,3.215,2016-10-16
15,1476662400,3.208,3.156,3.215,32338.44,102691.87,3.176,2016-10-17
16,1476748800,3.377,2.98,3.121,2197.31,6759.92,3.076,2016-10-18
17,1476835200,3.248,3.092,3.076,1220.09,3947.81,3.236,2016-10-19
18,1476921600,3.187,3.084,3.134,67352.81,209556.53,3.111,2016-10-20
19,1477008000,3.244,3.1,3.111,79844.8,250942.54,3.143,2016-10-21
20,1477094400,3.314,3.149,3.143,78773.54,249814.69,3.171,2016-10-22
21,1477180800,3.221,3.128,3.171,45618.19,145663.29,3.193,2016-10-23
22,1477267200,3.276,3.157,3.193,80274.58,254269.22,3.167,2016-10-24
23,1477353600,3.459,3.197,3.22,1266.89,4050.6,3.197,2016-10-25
24,1477440000,3.363,3.188,3.23,155487.25,498835.95,3.208,2016-10-26
25,1477526400,3.389,3.248,3.208,80083.19,264997.02,3.309,2016-10-27
26,1477612800,3.342,3.242,3.309,64926.99,213303.29,3.285,2016-10-28
27,1477699200,3.762,3.168,3.239,1342.55,4723.65,3.518,2016-10-29
