,time,high,low,open,volumefrom,volumeto,close,RealTime
0,1475280000,6.623,5.507,6.523,1057611.53,6016183.63,5.688,2016-10-01
1,1475366400,6.658,5.555,5.688,575463.97,3762930.13,6.539,2016-10-02
2,1475452800,6.719,6.047,6.539,405942.88,2501542.3,6.162,2016-10-03
3,1475539200,6.432,5.901,6.162,254206.47,1510003.57,5.94,2016-10-04
4,1475625600,6.163,4.789,5.94,1350711.16,6992027.91,5.177,2016-10-05
5,1475712000,5.879,5.004,5.177,708296.15,4057408.84,5.728,2016-10-06
6,1475798400,6.293,5.273,5.728,608420.16,3354205.37,5.513,2016-10-07
7,1475884800,5.776,5.323,5.513,241363.7,1337601.32,5.542,2016-10-08
8,1475971200,6.129,5.543,5.542,343720.96,2106559.35,6.129,2016-10-09
9,1476057600,6.267,5.485,6.129,461689.34,2573974.95,5.575,2016-10-10
10,1476144000,6.553,5.497,5.575,814354.04,4956209.34,6.086,2016-10-11
11,1476230400,6.269,5.814,6.086,274071.95,1647980.05,6.013,2016-10-12
12,1476316800,6.015,5.55,6.013,289179.62,1656246.63,5.727,2016-10-13
13,1476403200,5.877,5.615,5.727,237583.48,1353911.37,5.699,2016-10-14
14,1476489600,5.727,5.274,5.699,250747.74,1354039.68,5.4,2016-10-15
15,1476576000,5.559,5.076,5.4,381433.44,2031411.29,5.326,2016-10-16
16,1476662400,5.327,4.688,5.326,596904.83,3095561.9,5.186,2016-10-17
17,1476748800,5.619,4.924,5.186,352348.96,1919695.4,5.448,2016-10-18
18,1476835200,5.868,5.227,5.448,335628.33,1830705.2,5.455,2016-10-19
19,1476921600,5.962,5.309,5.455,355763.99,1907173.37,5.361,2016-10-20
20,1477008000,5.762,5.274,5.361,288447.78,1605094.99,5.565,2016-10-21
21,1477094400,5.814,5.115,5.565,346536.74,1839394.08,5.308,2016-10-22
22,1477180800,5.486,5.26,5.308,82680.15,441877.18,5.344,2016-10-23
23,1477267200,5.405,5.225,5.344,94844.54,497958.36,5.25,2016-10-24
24,1477353600,5.351,4.678,5.25,475175.45,2406408.65,5.064,2016-10-25
25,1477440000,5.213,4.791,5.064,264205.89,1318630.63,4.991,2016-10-26
26,1477526400,5.337,4.923,4.991,323245.7,1677303.0,5.189,2016-10-27
27,1477612800,5.28,4.621,5.189,486035.17,2302397.13,4.737,2016-10-28
28,1477699200,5.04,3.452,4.737,2148854.4,8934180.28,4.158,2016-10-29
29,1477785600,4.739,3.923,4.158,1062003.33,4841480.92,4.559,2016-10-30
30,1477872000,4.695,3.953,4.559,588727.78,2497010.25,4.241,2016-10-31
31,1477958400,4.412,3.608,4.241,763726.6,2936055.08,3.844,2016-11-01
32,1478044800,4.166,3.684,3.844,405967.33,1504768.76,3.707,2016-11-02
33,1478131200,4.14,3.257,3.707,1007438.97,4025462.07,3.996,2016-11-03
34,1478217600,4.255,3.778,3.996,520428.82,2030671.26,3.902,2016-11-04
35,1478304000,4.064,3.891,3.902,108113.0,436011.48,4.033,2016-11-05
36,1478390400,4.152,3.944,4.033,127438.07,516528.62,4.053,2016-11-06
37,1478476800,4.808,3.978,4.053,648618.74,3026069.23,4.665,2016-11-07
38,1478563200,5.605,4.693,4.665,1270744.51,6849279.26,5.39,2016-11-08
39,1478649600,5.416,4.428,5.39,1301173.7,6231254.02,4.789,2016-11-09
40,1478736000,5.205,4.722,4.789,545242.33,2666138.98,4.89,2016-11-10
41,1478822400,5.719,4.741,4.89,577644.38,3263516.24,5.65,2016-11-11
42,1478908800,6.123,5.201,5.65,1050351.76,6259716.26,5.96,2016-11-12
43,1478995200,6.647,5.644,5.96,1029711.31,5893378.87,5.723,2016-11-13
44,1479081600,6.664,5.64,5.723,717554.09,4434521.23,6.18,2016-11-14
45,1479168000,6.491,5.764,6.18,483147.76,2861964.02,5.924,2016-11-15
46,1479254400,6.291,4.859,5.924,1322157.76,7063422.24,5.342,2016-11-16
47,1479340800,5.671,5.007,5.342,719739.68,3966090.14,5.51,2016-11-17
48,1479427200,5.958,5.314,5.51,534522.06,2953049.67,5.525,2016-11-18
49,1479513600,5.656,5.253,5.525,353885.92,1910638.12,5.399,2016-11-19
50,1479600000,5.712,5.123,5.399,511919.14,2785141.39,5.441,2016-11-20
51,1479686400,5.556,5.289,5.441,238519.53,1311054.08,5.497,2016-11-21
52,1479772800,6.919,5.664,5.497,1273099.95,7911762.39,6.215,2016-11-22
53,1479859200,6.735,6.067,6.215,500808.33,3220973.81,6.432,2016-11-23
54,1479945600,6.834,6.137,6.432,684869.93,4322231.25,6.311,2016-11-24
55,1480032000,6.38,5.967,6.311,321254.07,1968264.19,6.127,2016-11-25
56,1480118400,6.391,5.957,6.127,190465.68,1170663.0,6.146,2016-11-26
57,1480204800,6.575,6.095,6.146,303310.8,1976264.38,6.516,2016-11-27
58,1480291200,6.728,6.394,6.516,212177.14,1386336.96,6.534,2016-11-28
59,1480377600,6.422,5.961,6.534,301986.76,1851899.32,6.132,2016-11-29
60,1480464000,7.643,5.678,6.132,1266661.46,9174010.45,7.243,2016-11-30
61,1480550400,7.431,6.685,7.243,603026.73,4147227.33,6.877,2016-12-01
62,1480636800,7.008,6.231,6.877,698268.23,4461910.25,6.39,2016-12-02
63,1480723200,6.723,6.316,6.39,237889.7,1548799.35,6.511,2016-12-03
64,1480809600,6.695,6.153,6.511,252571.2,1581642.48,6.262,2016-12-04
65,1480896000,6.391,5.973,6.262,318140.37,1966860.05,6.182,2016-12-05
66,1480982400,6.54,5.796,6.182,443924.7,2727018.64,6.143,2016-12-06
67,1481068800,6.284,5.868,6.143,203105.85,1262531.19,6.216,2016-12-07
68,1481155200,6.547,6.182,6.216,187352.46,1175486.35,6.274,2016-12-08
69,1481241600,6.461,6.238,6.274,149679.76,955979.54,6.387,2016-12-09
70,1481328000,6.453,6.088,6.387,118495.67,737389.19,6.223,2016-12-10
71,1481414400,6.493,6.152,6.223,178409.32,1129773.45,6.332,2016-12-11
72,1481500800,6.442,6.206,6.332,117195.18,740437.04,6.318,2016-12-12
73,1481587200,6.462,6.289,6.318,110307.17,710112.59,6.438,2016-12-13
74,1481673600,6.845,6.38,6.438,380506.53,2543172.36,6.684,2016-12-14
75,1481760000,6.938,6.623,6.684,134603.38,921134.06,6.843,2016-12-15
76,1481846400,6.939,6.774,6.843,105070.03,721751.62,6.869,2016-12-16
77,1481932800,6.959,6.652,6.869,116386.53,786082.82,6.754,2016-12-17
78,1482019200,7.195,6.673,6.754,230764.87,1604545.34,6.953,2016-12-18
79,1482105600,7.125,6.74,6.953,207210.03,1444424.3,6.971,2016-12-19
80,1482192000,7.187,6.753,6.971,165549.92,1122266.45,6.779,2016-12-20
81,1482278400,7.177,6.586,6.779,291843.17,1990603.89,6.821,2016-12-21
82,1482364800,7.764,6.805,6.821,439615.0,3187374.05,7.25,2016-12-22
83,1482451200,8.198,7.536,7.25,363214.91,2830194.84,7.792,2016-12-23
84,1482537600,7.917,7.552,7.792,123082.84,965482.41,7.844,2016-12-24
85,1482624000,8.296,7.912,7.844,187566.02,1503400.32,8.015,2016-12-25
86,1482710400,8.419,7.894,8.015,163642.94,1369192.56,8.367,2016-12-26
87,1482796800,10.64,8.514,8.367,828429.35,8407345.5,10.15,2016-12-27
88,1482883200,12.15,10.24,10.15,939687.72,10793602.81,11.49,2016-12-28
89,1482969600,11.57,10.1,11.49,561264.57,5978474.58,10.65,2016-12-29
90,1483056000,10.91,10.09,10.65,227397.1,2413474.12,10.61,2016-12-30
