,time,high,low,open,volumefrom,volumeto,close,RealTime
0,1475107200,0.007314,0.006694,0.007065,369829685.3,2564152.51,0.006933,2016-09-29
1,1475193600,0.007381,0.006617,0.006933,378227007.22,2533212.94,0.006698,2016-09-30
2,1475280000,0.006819,0.00607,0.006698,279397379.13,1746543.81,0.006251,2016-10-01
3,1475366400,0.00651,0.006192,0.006251,87535389.8,553656.79,0.006325,2016-10-02
4,1475452800,0.006585,0.006239,0.006325,113205777.87,718253.82,0.006345,2016-10-03
5,1475539200,0.006524,0.00609,0.006345,125085252.39,768969.04,0.006148,2016-10-04
6,1475625600,0.006188,0.005646,0.006148,247321974.0,1419071.51,0.005738,2016-10-05
7,1475712000,0.006064,0.00568,0.005738,113003873.25,660509.46,0.005845,2016-10-06
8,1475798400,0.006148,0.005768,0.005845,90826787.72,538893.7,0.005933,2016-10-07
9,1475884800,0.00601,0.005731,0.005933,34411927.5,204070.55,0.00593,2016-10-08
10,1475971200,0.006379,0.005928,0.00593,89400303.85,543430.42,0.006079,2016-10-09
11,1476057600,0.006979,0.006087,0.006079,400656690.02,2573186.18,0.006422,2016-10-10
12,1476144000,0.007084,0.006288,0.006422,165729094.97,1081688.99,0.006527,2016-10-11
13,1476230400,0.006693,0.006248,0.006527,86801477.78,561452.37,0.006468,2016-10-12
14,1476316800,0.006533,0.006345,0.006468,31661216.59,205183.35,0.006481,2016-10-13
15,1476403200,0.006911,0.006407,0.006481,90465638.41,599557.96,0.006627,2016-10-14
16,1476489600,0.00687,0.006554,0.006627,34147261.28,225951.91,0.006617,2016-10-15
17,1476576000,0.006754,0.006489,0.006617,33533946.19,219190.07,0.006536,2016-10-16
18,1476662400,0.006698,0.006355,0.006536,62779864.54,412228.57,0.006566,2016-10-17
19,1476748800,0.006915,0.006428,0.006566,97249454.41,661420.46,0.006801,2016-10-18
20,1476835200,0.007171,0.006685,0.006801,75219820.45,532406.17,0.007078,2016-10-19
21,1476921600,0.007723,0.007065,0.007078,279018345.2,2115736.96,0.007583,2016-10-20
22,1477008000,0.007762,0.007014,0.007583,160047569.44,1180814.0,0.007378,2016-10-21
23,1477094400,0.007693,0.007074,0.007378,102881876.45,742150.97,0.007214,2016-10-22
24,1477180800,0.007401,0.007083,0.007214,39223050.62,287529.39,0.007331,2016-10-23
25,1477267200,0.007481,0.007203,0.007331,53190550.96,384838.57,0.007235,2016-10-24
26,1477353600,0.007571,0.007179,0.007235,75761674.51,551346.65,0.007277,2016-10-25
27,1477440000,0.007505,0.007055,0.007277,83929403.51,595414.43,0.007094,2016-10-26
28,1477526400,0.007307,0.006677,0.007094,139833926.58,958296.53,0.006853,2016-10-27
29,1477612800,0.007045,0.006275,0.006853,133793897.24,866278.16,0.006475,2016-10-28
30,1477699200,0.006939,0.006053,0.006475,165502042.57,1052931.71,0.006362,2016-10-29
31,1477785600,0.006833,0.006172,0.006362,80868098.12,541324.42,0.006694,2016-10-30
32,1477872000,0.007007,0.006538,0.006694,54654710.64,364282.94,0.006665,2016-10-31
33,1477958400,0.006936,0.006473,0.006665,56078810.82,366729.22,0.00654,2016-11-01
34,1478044800,0.006934,0.006571,0.00654,22567021.92,150066.63,0.00665,2016-11-02
35,1478131200,0.006614,0.005907,0.00665,71504861.04,461848.82,0.006459,2016-11-03
36,1478217600,0.006756,0.006483,0.006459,34523485.98,228930.71,0.006631,2016-11-04
37,1478304000,0.006711,0.006552,0.006631,13708359.67,91061.86,0.006643,2016-11-05
38,1478390400,0.006795,0.006443,0.006643,17464635.35,114436.11,0.006552,2016-11-06
39,1478476800,0.006719,0.006489,0.006552,26600308.27,178726.51,0.006719,2016-11-07
40,1478563200,0.006974,0.006517,0.006719,52667256.46,354343.19,0.006728,2016-11-08
41,1478649600,0.006745,0.006203,0.006728,60055723.96,395293.12,0.006582,2016-11-09
42,1478736000,0.006653,0.00645,0.006582,11838447.01,77320.99,0.006531,2016-11-10
43,1478822400,0.006615,0.006373,0.006531,22650661.69,148271.6,0.006546,2016-11-11
44,1478908800,0.006612,0.005937,0.006546,51453888.58,331236.13,0.006438,2016-11-12
45,1478995200,0.006602,0.006394,0.006438,15038109.39,97758.43,0.006501,2016-11-13
46,1479081600,0.006613,0.006408,0.006501,11323599.1,72882.84,0.006436,2016-11-14
47,1479168000,0.006584,0.006219,0.006436,44239261.47,282291.65,0.006381,2016-11-15
48,1479254400,0.006662,0.006047,0.006381,60291684.24,372843.03,0.006184,2016-11-16
49,1479340800,0.006383,0.006081,0.006184,31239839.29,195628.57,0.006262,2016-11-17
50,1479427200,0.00653,0.00621,0.006262,33797964.74,215081.24,0.006364,2016-11-18
51,1479513600,0.006458,0.006236,0.006364,22799212.94,142735.44,0.006261,2016-11-19
52,1479600000,0.00636,0.005747,0.006261,67390852.28,420123.53,0.006234,2016-11-20
53,1479686400,0.006226,0.005963,0.006234,23257119.19,140341.5,0.006034,2016-11-21
54,1479772800,0.006338,0.005943,0.006034,38561071.33,233208.59,0.006048,2016-11-22
